Mnemonic,ISIN,Issuer Name
LIT,AU000000LCA6,LITIGATION CAPITAL MANAGEMENT LTD
HCM,KYG4672N1198,HUTCHMED (CHINA) LIMITED
AGFX,GB00BJLPH056,ARGENTEX GROUP PLC
BUR,GG00BMGYLN96,BURFORD CAPITAL LIMITED
KITW,GB00BNYKB709,KITWAVE GROUP PLC
CAM,GB0001667087,CAMELLIA PLC
PRM,GB0003104196,PROTEOME SCIENCES PLC
RNO,GB0007325078,RENOLD PLC
ARBB,GB0007922338,ARBUTHNOT BANKING GROUP PLC
TRB,GB0030181522,TRIBAL GROUP PLC
ENW,GB0031775819,ENWELL ENERGY PLC
HSP,GB00B0MTC970,HARGREAVES SERVICES PLC
CHRT,GB00B0YD2B94,COHORT PLC
SPO,GB00B28ZPV64,SPORTECH PLC
TAN,GB00B4QHFM95,TANFIELD GROUP PLC
IBPO,GG00B54NMG96,IENERGIZER LD
PGR,GB00B7LHJ340,PHOENIX GLOBAL RESOURCES PLC
RQIH,BMG7371X1065,RANDALL & QUILTER INVEST. HLDGS LD
TUNG,GB00B7Z0Q502,TUNGSTEN CORPORATION PLC
CNG,KYG215771042,CHINA NONFERROUS GOLD LD
SFE,JE00BGP63272,SAFESTYLE UK PLC
PMG,GB00BGCYZL73,PARKMEAD GROUP (THE) PLC
FLO,GB00BM4NR742,FLOWTECH FLUIDPOWER PLC
NAH,GB00BM7S2W63,NAHL GROUP PLC
MYSL,JE00BMH4MR96,MYSALE GROUP PLC
C4XD,GB00BQQ2RV18,C4X DISCOVERY HOLDINGS PLC
CBP,GB00BW0D4R71,CURTIS BANKS GROUP PLC
ONC,GB00BYQ94H38,ONCIMMUNE HOLDINGS PLC
ACRL,GB00BZ6VT592,ACCROL GROUP HOLDINGS PLC
OBD,GB00BD5H8572,OXFORD BIODYNAMICS PLC
TAM,GB00BYX1P358,TATTON ASSET MANAGEMENT PLC
QUIZ,JE00BZ00SF59,QUIZ PLC
AT.,GB00BLH42507,ASHTEAD TECHNOLOGY HOLDINGS PLC
PHC,GB00B01JC540,PLANT HEALTH CARE PLC
UKR,GB00B03HK741,UKRPRODUCT GROUP LD
PXS,GB00B0923P27,PROVEXIS PLC
DDDD,GB00BJL5BR07,4D PHARMA PLC
IGAS,GB00BZ042C28,IGAS ENERGY PLC
AGTA,GG00BDG13C09,AGRITERRA LD
CPP,GB00BMDX5Z93,CPPGROUP PLC
FSJ,GB0003395000,FISHER(JAMES)& SONS PLC
HFD,GB00B012TP20,HALFORDS GROUP PLC
PFC,GB00B0H2K534,PETROFAC LD
BAG,GB00B6XZKY75,BARR(A.G.) PLC
OTB,GB00BYM1K758,ON THE BEACH GROUP PLC
