Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
Helios Towers,HTWS,2000,113.1,140,98,07/11/2019,149.45,23/01/2020,727.0
Gan,Gan,5000,113.5,170,100,21/10/2019,175.0,24/02/2020,3100.0
Gan,Gan,5000,113.5,170,100,21/10/2019,155.1,05/03/2020,2080.0
SDI,SDI,10000,54.0,75,45,17/10/2019,67.8,05/03/2020,1380.0
Qinetiq,QQ.,1000,301.2,330,260,07/10/2019,341.4,25/11/2019,402.0
Begbies,Beg,3000,85.0,100,70,07/10/2019,,,
Next 15,NFC,1000,460.0,550,400,01/10/2019,478.3,05/03/2020,183.0
Ten Entertainment,TEG,3500,242.0,280,200,26/09/2019,258.1,05/03/2020,563.0
Ramsdens,RFX,5000,192.0,220,150,26/09/2019,187.0,10/03/2020,-250.0
Kape Technology,KAPE,5000,70.1,90,60,17/09/2019,175.1,28/04/2020,5250.0
Cohort,CHRT,1000,473.0,600,400,16/09/2019,675.6,24/02/2020,2026.0
TP Group,TPG,50000,6.5,8,5,12/09/2019,6.08,05/03/2020,-210.0
Tritax,BBOX,5000,139.9,160,122,29/08/2019,155.5,22/11/2019,980.0
Codemasters,CDM,2500,205.0,250,165,28/08/2019,215.8,03/10/2019,272.0
ITV,ITV,5000,109.0,125,95,20/08/2019,135.0,14/02/2020,1300.0
Cineworld,Cine,5000,213.02,250,190,16/08/2019,210.59,13/11/2019,-122.0
Synthomer,SYNT,2000,282.0,350,220,07/08/2019,315.0,02/10/2019,660.0
Avon Rubber,Avon,1000,1367.9,2200,900,05/08/2019,2528.4,12/07/2021,11605.0
Synthomer (rights),SYNT,1000,240.0,380,200,30/07/2019,302.4,12/11/2019,624.0
Synthomer,SYNT,1500,353.79,450,320,03/07/2019,302.4,12/11/2019,-770.0
Solid State,SOLI,1000,439.5,550,390,02/07/2019,515.0,28/02/2020,755.0
Shoe Zone,SHOE,5000,181.33,220,160,01/07/2019,196.2,06/08/2019,744.0
Mission Marketing,TMMG,5000,91.0,110,70,01/07/2019,101.41,17/02/2020,520.0
Shoe Zone,SHOE,2500,180.2,220,165,28/06/2019,214.3,26/07/2019,852.0
Argentex,AGFX,3500,134.5,170,120,28/06/2019,165.5,21/11/2019,1095.0
Finablr,FIN,3500,138.37,170,115,19/06/2019,155.0,30/09/2019,583.0
Telecom Plus,TEP,350,1481.3,1600,1300,18/06/2019,1272.88,09/08/2019,-424.0
Next Fifteen,NFC,1000,601.6,700,500,13/06/2019,560.0,16/09/2019,-416.0
Entertainment One,ETO,750,399.6,470,320,06/06/2019,576.0,13/09/2019,1323.0
Hilton Food,HFG,172,964.0,1080,880,04/06/2019,1006.03,28/02/2020,72.0
888,888,2500,130.8,170,110,03/06/2019,173.3,04/11/2019,1062.0
Essensys,ESYS,5000,176.0,250,150,30/05/2019,172.5,10/09/2019,-175.0
Avast,AVST,1000,304.9,350,275,30/05/2019,389.0,28/08/2019,841.0
Cohort,CHRT,1000,405.0,480,350,20/05/2019,,,
888,888,2400,130.5,170,110,20/05/2019,173.3,04/11/2019,1027.0
Robert Walters,RWA,500,629.6,680,590,20/05/2019,591.5,20/07/2019,-191.0
Andrews Sykes,ASY,500,665.0,735,525,16/05/2019,615.0,02/09/2020,-250.0
ITV,ITV,5000,112.1,125,97,15/05/2019,142.7,24/01/2020,1530.0
Gamma Comms,GAMA,300,1090.0,1200,1000,14/05/2019,,,
Synthomer,SYNT,1000,394.6,425,360,13/05/2019,315.0,02/10/2019,-796.0
Gamma,GAMA,250,1080.0,1200,970,01/05/2019,,,
Avon Rubber,Avon,350,1379.9,1500,1250,01/05/2019,2528.4,12/07/2021,4020.0
Computacentre,CCC,1000,1070.0,1300,1000,25/04/2019,1355.0,03/07/2019,2850.0
Solid State,SOLI,1500,420.0,600,380,17/04/2019,515.0,28/02/2020,1425.0
Network Int,NETW,1000,501.0,600,440,16/04/2019,637.0,02/01/2020,1360.0
Entertainment One,ETO,1500,452.8,550,410,08/04/2019,576.0,13/09/2019,1848.0
Oxford Metrics,OMG,5000,96.3,120,85,08/04/2019,122.0,24/02/2020,1285.0
Synthomer,SYNT,1500,389.4,450,350,05/04/2019,323.0,01/10/2019,-996.0
K3C,K3C,1000,124.5,170,100,05/04/2019,254.0,24/02/2020,1261.0
Ab Dynamics,ABDP,750,1652.68,1900,1400,03/04/2019,1980.0,25/02/2020,5554.0
GVC,GVC,1000,514.0,690,450,26/03/2019,677.9,29/04/2019,1639.0
Safecharge,SCH,1500,287.8,350,250,26/03/2019,450.0,30/07/2019,2433.0
Sopheon,SPE,250,890.0,1110,720,22/03/2019,962.0,23/07/2019,150.0
Oxford Metrics,OMG,5000,87.0,100,75,20/03/2019,110.8,05/03/2020,1190.0
SimplyBiz,SBIZ,1500,202.4,235,175,20/03/2019,216.0,12/11/2019,204.0
Hollywood Bowl,BOWL,1000,216.0,245,190,18/03/2019,218.1,06/03/2020,210.0
XP Power,XPP,250,2058.0,2400,1900,05/03/2019,2480.0,26/09/2019,1055.0
ITV,ITV,5000,125.3,145,115,27/02/2019,126.5,08/05/2019,60.0
IG Group,IGG,1000,547.0,595,520,25/02/2019,575.0,18/03/2019,280.0
Gb Group,GBG,1000,434.8,550,390,15/02/2019,,,
Redde,REDD,2500,182.6,220,160,07/02/2019,170.88,27/02/2019,-293.0
Rosenblatt,RBGP,5000,82.7,95,72,06/02/2019,101.64,02/05/2019,947.0
XP Power,XPP,121,2030.0,2150,1950,04/02/2019,3770.0,27/01/2020,2105.0
Ig Design,IGR,1000,524.44,580,500,04/02/2019,600.4,07/05/2019,760.0
Computacentre,CCC,250,1048.0,1150,950,04/02/2019,1188.0,19/03/2019,350.0
Kainos,KNOS,750,401.0,480,350,29/01/2019,,,
Fulcrum,FCRM,10000,45.01,52,38,24/01/2019,52.0,19/02/2019,699.0
K3C,K3C,1000,230.5,290,200,21/01/2019,240.5,14/02/2019,100.0
XP Power,XPP,67,2010.0,2200,1900,18/01/2019,3770.0,27/01/2020,1179.0
Cineworld,Cine,1500,263.4,285,220,18/01/2019,301.4,19/03/2019,570.0
ITV,ITV,5000,129.1,150,115,17/01/2019,132.4,25/02/2019,165.0
ITV,ITV,5000,127.53,170,115,07/01/2019,126.5,08/05/2019,-51.0
NMC Health,NMC,90,2608.0,2800,2300,03/01/2019,3006.44,06/03/2019,358.0
Telecom Plus,TEP,500,1433.0,1700,1250,31/12/2018,1272.88,09/08/2019,-365.0
H&T,HAT,1000,243.0,290,215,10/12/2018,300.0,29/01/2019,570.0
Colefax,CFX,500,580.0,650,540,10/12/2018,530.0,03/01/2019,-250.0
Kainos,KNOS,1000,396.0,450,350,10/12/2018,,,
Hollywood Bowl,BOWL,2000,183.5,250,150,07/12/2018,218.1,06/03/2020,620.0
Hollywood Bowl,BOWL,2500,187.0,240,150,07/12/2018,218.1,06/03/2020,777.0
H&T,HAT,1000,235.0,285,210,06/12/2018,324.0,05/04/2019,890.0
888,888,2000,158.0,190,140,06/12/2018,140.0,03/05/2019,-360.0
Kape Technology,KAPE,5000,97.0,125,90,21/11/2018,100.0,19/03/2019,150.0
Trifast,TRI,1500,191.95,225,180,13/11/2018,182.0,03/01/2019,-149.0
Spirent,SPT,2500,115.2,130,105,12/11/2018,162.4,02/07/2019,1180.0
Avon Rubber,Avon,400,1315.0,1500,1100,07/11/2018,2528.4,12/07/2021,4853.0
Ab Dynamics,ABDP,500,1230.0,1700,1000,02/11/2018,1600.0,25/01/2019,1850.0
Fairfx,FFX,2500,119.0,135,108,29/10/2018,122.0,15/01/2019,75.0
Safecharge,SCH,2500,238.0,280,215,25/10/2018,450.0,30/07/2019,5300.0
Telecom Plus,TEP,350,1181.35,1300,1010,24/10/2018,1272.88,09/08/2019,626.0
Cineworld,CINE,2500,271.0,300,240,24/10/2018,226.5,11/11/2019,-1113.0
NMC,NMC,500,3036.0,3500,2900,19/10/2018,3692.0,21/11/2018,3281.0
Trifast,TRI,2500,215.0,230,198,16/10/2018,213.2,22/10/2018,-45.0
