Segment,Sector,Issuer Name,ISIN,Sedol,Security Type,MiFIR Identifier,Currency,Trading Parameter Code,Price Tick Table ID,Country of Register,Mnemonic,Short Name,Long Name,Professional Investor Only,EMS,Max Spread Floor,Max Spread Perc.,ADT / PTS (EU),ADT / PTS (UK),Issuer Version Start Date
SET1,FS10,AVAST PLC,GB00BDD85M81,BDD85M8,DE,SHRS,GBX,TP_2,TM_47,GB,AVST,AVAST,ORD 10P,N,3000.0,1.0,5.0,19709402.0,48525598.0,22/06/2020
SET1,FS10,RIGHTMOVE  PLC,GB00BGDT3G23,BGDT3G2,DE,SHRS,GBX,TP_2,TM_47,GB,RMV,RIGHTMOVE,ORD 0.1P,N,3000.0,1.0,5.0,7457552.0,30849906.0,31/08/2018
SET1,FS10,ABRDN PLC,GB00BF8Q6K64,BF8Q6K6,DE,SHRS,GBX,TP_2,TM_47,GB,ABDN,ABRDN PLC,ORD 13 61/63P,N,10000.0,1.0,5.0,3296280.0,28843080.0,05/07/2021
SET1,FS10,PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29,BGXQNP2,DE,SHRS,GBX,TP_2,TM_47,GB,PHNX,PHOENIX GRP HDG,ORD 10P,N,3000.0,1.0,5.0,5575576.0,30545204.0,18/03/2019
SET1,FS10,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057,BHJYC05,DE,SHRS,GBX,TP_2,TM_47,GB,IHG,INTERCON. HOTEL,ORD 20 340/399P,N,500.0,1.0,5.0,13995029.0,64354139.0,14/01/2019
SET1,FS10,CRODA INTERNATIONAL PLC,GB00BJFFLV09,BJFFLV0,DE,SHRS,GBX,TP_2,TM_47,GB,CRDA,CRODA INTL.,ORD 10.609756P,N,300.0,1.0,5.0,14553073.0,57017919.0,29/04/2019
SET1,FS10,AIRTEL AFRICA PLC,GB00BKDRYJ47,BKDRYJ4,DE,SHRS,GBX,TP_2,TM_46,GB,AAF,AIRTEL AFRICA,ORD USD0.50,N,20000.0,1.0,5.0,605871.0,3573716.0,31/01/2022
SET1,FS10,M&G PLC,GB00BKFB1C65,BKFB1C6,DE,SHRS,GBX,TP_2,TM_47,GB,MNG,M&G PLC,ORD £0.05,N,10000.0,1.0,5.0,5118292.0,31987864.0,16/12/2019
SET1,FS10,ENDEAVOUR MINING PLC,GB00BL6K5J42,BL6K5J4,DE,SHRS,GBX,TP_2,TM_46,GB,EDV,ENDEAVOUR MIN,ORD USD0.01,N,1000.0,1.0,5.0,1298906.0,9682858.0,21/03/2022
SET1,FS10,BERKELEY GROUP HOLDINGS (THE) PLC,GB00BLJNXL82,BLJNXL8,DE,SHRS,GBX,TP_2,TM_47,GB,BKG,BERKELEY GP.HLD,ORD 5.4141P,N,500.0,1.0,5.0,0.0,41733944.0,06/09/2021
SET1,FS10,MELROSE INDUSTRIES PLC,GB00BNR5MZ78,BNR5MZ7,DE,SHRS,GBX,TP_2,TM_47,GB,MRO,MELROSE IND,ORDS 160/21P,N,15000.0,1.0,5.0,0.0,37063340.0,31/08/2021
SET1,FS10,JD SPORTS FASHION PLC,GB00BM8Q5M07,BM8Q5M0,DE,SHRS,GBX,TP_2,TM_47,GB,JD.,JD SPORTS,ORD 0.05P,N,15000.0,1.0,5.0,4468881.0,57151323.0,30/11/2021
SET3,OL25,FINABLR PLC,GB00BJ7HMW26,BJ7HMW2,DE,SHRS,GBX,TP_31,TM_43,GB,FIN,FINABLR,ORD 1P,N,30000.0,5.0,25.0,0.0,0.0,21/09/2020
SET3,ON10,CARCLO PLC,GB0001751915,0175191,DE,SHRS,GBX,TP_27,TM_44,GB,CAR,CARCLO,ORD 5P,N,10000.0,3.0,10.0,1831.0,313639.0,21/03/2022
SET3,ON10,CASTINGS PLC,GB0001795680,0179568,DE,SHRS,GBX,TP_27,TM_43,GB,CGS,CASTINGS,ORD 10P,N,1000.0,3.0,10.0,427.0,131029.0,22/03/2021
SET3,ON10,TCLARKE PLC,GB0002015021,0201502,DE,SHRS,GBX,TP_27,TM_44,GB,CTO,TCLARKE,ORD 10P,N,5000.0,3.0,10.0,1228.0,200640.0,21/09/2020
SET3,ON10,CARILLION PLC,GB0007365546,0736554,DE,SHRS,GBX,TP_27,TM_43,GB,CLLN,CARILLION,ORD 50P,N,20000.0,3.0,10.0,0.0,0.0,18/01/2018
SET3,ON10,ASOS PLC,GB0030927254,3092725,DE,SHRS,GBX,TP_27,TM_46,GB,ASC,ASOS,ORD 3.5P,N,750.0,3.0,10.0,5507328.0,32885455.0,22/02/2022
SET3,ON10,PETROPAVLOVSK PLC,GB0031544546,3154454,DE,SHRS,GBX,TP_27,TM_46,GB,POG,PETROPAVLOVSK,ORD 1P,N,100000.0,3.0,10.0,594216.0,3116508.0,21/03/2022
SET3,ON10,DIALIGHT PLC,GB0033057794,3305779,DE,SHRS,GBX,TP_27,TM_44,GB,DIA,DIALIGHT,ORD 1.89P,N,2000.0,3.0,10.0,2704.0,263379.0,21/06/2021
SET3,ON10,NANOCO GROUP PLC,GB00B01JLR99,B01JLR9,DE,SHRS,GBX,TP_27,TM_44,GB,NANO,NANOCO,ORD 10P,N,30000.0,3.0,10.0,9705.0,163961.0,23/09/2019
