,Stock,Epic,Qty,Price,Target,Stop,Buy Date,Sell,Sell Date,P/L
210,Spirent,SPT,50,82.0,100,75,07/09/2009,90.0,26/10/2009,400.0
211,Nestor,NSR,100,35.0,55,30,25/08/2009,110.0,04/01/2011,7500.0
212,Fenner,FENR,35,110.0,160,97,24/08/2009,145.0,01/10/2009,1225.0
213,Mitie,MTO,20,244.0,320,210,18/08/2009,249.0,01/10/2009,100.0
214,Nestor,NSR,100,30.6,50,28,18/08/2009,110.0,04/01/2011,7940.0
215,UK Coal,UKC,30,124.0,160,100,05/08/2009,114.0,01/10/2009,300.0
216,Aveva,AVV,5,773.0,850,760,29/07/2009,903.0,15/09/2009,655.0
217,New Brit,NBPO,20,322.0,395,305,21/07/2009,424.0,28/01/2010,2120.0
218,Cape,CIU,20,207.0,280,195,21/07/2009,265.0,16/09/2009,1160.0
219,Heritage,HOIL,10,471.0,600,450,22/06/2009,484.0,27/10/2009,130.0
220,Hardy,HDY,15,269.0,350,250,27/05/2009,371.0,23/10/2009,1530.0
221,Topps Tiles,TPT,50,65.0,90,45,18/05/2009,82.0,03/06/2009,850.0
222,Topps Tiles,TPT,50,51.0,80,40,04/05/2009,61.0,13/05/2009,500.0
223,Topps Tiles,TPT,50,51.0,80,40,04/05/2009,89.0,02/06/2009,1900.0
224,PV Crystalox,PVCS,50,105.0,120,98,28/04/2009,121.0,07/05/2009,800.0
225,BA,BAY,50,138.2,160,130,28/04/2009,168.0,07/05/2009,1490.0
226,Charter,CHTR,10,490.0,550,470,27/04/2009,453.0,15/06/2009,370.0
227,Charter,CHTR,20,471.0,555,450,23/04/2009,618.0,07/05/2009,2940.0
228,Galiform,GFRM,100,26.0,40,20,23/04/2009,33.0,,700.0
229,Hardy,HDY,15,233.0,350,210,23/04/2009,371.0,23/10/2009,2070.0
230,Heritage,HOIL,15,368.0,500,330,20/04/2009,541.0,10/06/2009,2595.0
231,Galiform,GFRM,100,20.13,40,17,16/04/2009,80.0,18/11/2009,5987.0
232,New Brit,NBPO,11,315.0,400,295,08/04/2009,376.0,22/06/2009,660.0
233,Fenner,FENR,40,48.2,60,42,07/04/2009,59.0,17/04/2009,432.0
234,fenner,FENR,30,48.2,60,42,07/04/2009,76.0,29/04/2009,973.0
235,WSH,WSP,20,229.0,300,205,06/04/2009,246.0,08/05/2009,340.0
236,Unite,UTG,50,50.5,70,42,10/03/2009,116.0,13/05/2009,3275.0
237,Charter,CHTR,20,502.0,650,470,16/02/2009,509.0,21/04/2009,140.0
238,Wellstream,WSM,10,451.0,550,420,03/02/2009,457.0,25/02/2009,60.0
239,RBS,RBS,100,17.0,30,14,27/01/2009,20.3,16/02/2009,330.0
240,Charter,CHTR,20,347.0,420,330,02/01/2009,361.0,20/01/2009,280.0
241,Fenner,FENR,20,86.7,115,82,20/10/2008,110.0,23/10/2008,466.0
242,Fenner,FENR,20,92.0,115,82,20/10/2008,110.0,23/10/2008,360.0
243,Charter,CHTR,10,301.0,350,270,17/10/2008,403.0,23/10/2008,1020.0
244,Petrofac,PFC,10,383.0,550,350,10/10/2008,440.0,15/10/2008,570.0
245,Unite,UTG,20,239.0,300,210,08/09/2008,225.5,28/08/2008,270.0
246,Weir,WEIR,5,821.0,900,780,13/08/2008,925.0,21/09/2008,520.0
247,Dragon,DGO,20,281.0,350,265,05/08/2008,345.0,22/08/2008,1280.0
248,Lamprell,LAM,20,460.0,580,410,29/07/2008,472.0,04/08/2008,220.0
249,Barclays,BARC,15,293.0,350,275,18/07/2008,342.0,18/08/2008,735.0
250,PV Crystalox,PVCS,20,184.0,250,150,24/06/2008,172.2,26/09/2008,236.0
251,Hunting,HTG,5,814.0,1000,750,23/06/2008,839.0,24/07/2008,125.0
252,Smith Nephew,SN.,10,582.0,630,530,17/06/2008,641.0,04/09/2008,590.0
253,New World,NWR,5,1501.0,1800,1400,15/05/2008,1737.0,30/05/2008,1180.0
254,Dana,DNX,5,1635.0,1850,1580,28/04/2008,1878.0,02/07/2008,1260.0
255,Intertek,ITRK,5,1002.0,1090,925,18/04/2008,978.0,25/04/2008,120.0
256,Dragon,DGO,10,465.0,850,420,16/04/2008,462.0,04/07/2008,30.0
257,Smith and Nephew,SN.,10,621.0,690,595,20/03/2008,657.0,10/04/2008,360.0
258,Dragon,DGO,15,442.0,650,395,05/03/2008,468.0,19/03/2008,390.0
259,Kier,KIE,5,1474.0,1650,1430,27/02/2008,1423.0,28/02/2008,255.0
260,Morgan Sindall,MGNS,10,1056.0,1400,950,19/02/2008,969.0,18/03/2008,860.0
